銘柄コード,銘柄名,終値,RSI,MACD,Signal,判定,反発確度スコア
7203.T,トヨタ自動車,3067.0,66.8,64.551,37.956,判定なし,20
6758.T,ソニーグループ,3787.0,83.9,100.798,56.965,判定なし,20
8035.T,東京エレクトロン,55500.0,27.0,-3578.463,-1419.488,判定なし,20
6861.T,キーエンス,81150.0,58.0,75.349,-603.312,判定なし,20
9983.T,ファーストリテイリング,78190.0,38.0,-820.446,-537.856,判定なし,10
9432.T,NTT,152.4,59.4,2.272,1.654,判定なし,20
9433.T,KDDI,2921.0,62.0,72.863,61.15,判定なし,20
8306.T,三菱UFJフィナンシャルグループ,3571.0,55.0,94.695,113.616,判定なし,0
8316.T,三井住友フィナンシャルグループ,6814.0,50.0,112.137,164.824,25MAタッチ（反発候補）,30
4502.T,武田薬品工業,5513.0,56.8,131.803,122.354,判定なし,20
6098.T,リクルート,12550.0,54.6,399.52,451.796,判定なし,0
7974.T,任天堂,7679.0,63.3,167.204,61.248,判定なし,20
6501.T,日立製作所,5267.0,76.4,91.512,36.386,判定なし,20
9984.T,ソフトバンクグループ,5260.0,35.7,-374.222,-288.641,判定なし,10
8058.T,三菱商事,4776.0,68.1,52.802,20.419,判定なし,20
8001.T,伊藤忠商事,2014.0,72.0,35.721,24.638,判定なし,20
8053.T,住友商事,1670.0,65.5,4.237,-5.725,判定なし,20
8766.T,東京海上HD,8114.0,65.8,225.474,195.391,判定なし,20
4661.T,オリエンタルランド,3167.0,72.5,148.088,113.596,ボックス上限タッチ（天井候補）,20
6902.T,デンソー,1967.5,52.9,47.383,37.095,25MAタッチ（反発候補）,50
6981.T,村田製作所,7416.0,31.7,-741.621,-517.063,判定なし,10
6594.T,日本電産,2591.0,43.6,-32.764,-33.831,25MAタッチ（反発候補）,50
7741.T,HOYA,24675.0,46.7,-513.192,-471.376,判定なし,0
9101.T,日本郵船,6110.0,85.3,196.007,139.202,ボックス上限タッチ（天井候補）,20
9107.T,川崎汽船,2850.0,83.6,81.255,63.421,判定なし,20
9104.T,商船三井,5894.0,79.9,128.884,85.032,判定なし,20
5411.T,JFEホールディングス,1817.5,76.5,56.007,38.947,判定なし,20
5401.T,日本製鉄,649.6,84.1,26.798,18.646,判定なし,20
4503.T,アステラス製薬,2202.0,58.2,18.389,6.119,判定なし,20
2503.T,キリンHD,2953.0,60.4,69.377,62.154,判定なし,20
2502.T,アサヒグループHD,1666.5,62.3,45.767,38.041,判定なし,20
2914.T,日本たばこ産業,7135.0,84.6,210.201,141.964,判定なし,20
3382.T,セブン＆アイHD,2109.0,57.9,60.446,50.755,判定なし,20
3092.T,ZOZO,1143.0,47.1,13.812,16.353,判定なし,0
3289.T,東急不動産HD,1336.5,57.7,16.001,12.596,25MAタッチ（反発候補）,50
3407.T,旭化成,1722.5,36.1,0.452,15.863,ボックス下限タッチ（底候補）,40
3401.T,帝人,1637.0,45.8,4.811,13.982,ボックス下限タッチ（底候補）,30
3861.T,王子HD,879.8,77.0,21.692,17.591,判定なし,20
3863.T,日本製紙,1376.0,55.1,44.054,52.27,判定なし,0
4063.T,信越化学工業,5800.0,20.5,-352.301,-184.596,判定なし,20
4188.T,三菱ケミカルグループ,1188.0,53.6,14.99,22.572,判定なし,0
4208.T,宇部興産,3183.0,52.9,29.506,47.121,25MAタッチ（反発候補）,30
4452.T,花王,3268.0,54.7,51.205,54.177,25MAタッチ（反発候補）,30
4506.T,大日本住友製薬,1248.0,26.2,-57.722,-56.135,判定なし,20
4519.T,中外製薬,6932.0,37.8,-128.142,-104.083,判定なし,10
4523.T,エーザイ,4828.0,68.4,211.599,161.736,判定なし,20
4543.T,テルモ,2324.0,60.5,25.788,8.241,判定なし,20
4578.T,大塚HD,11100.0,47.4,97.232,90.292,25MAタッチ（反発候補）,50
4901.T,富士フイルムHD,3772.0,63.1,91.133,81.644,判定なし,20
4911.T,資生堂,3154.0,62.7,157.989,133.855,判定なし,20
5020.T,ENEOS,1327.5,64.7,18.146,13.627,判定なし,20
5108.T,ブリヂストン,3965.0,73.9,141.22,114.103,判定なし,20
5201.T,AGC,6079.0,38.2,-196.473,-172.078,判定なし,10
